App,Rssi,Device,Hive_Position,Record_Type,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,w1,w3,w2,w4,Radar,Audio
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/20/2023 5:49 PM,08/20/2023 11:49 AM,1692553790,1612,false,27,91.22,74,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/20/2023 5:50 PM,08/20/2023 11:50 AM,1692553838,5689,false,98,94.55,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/20/2023 6:49 PM,08/20/2023 12:49 PM,1692557387,760,false,100,90.60,,52.53,1,52.53,8.71,12.11,21.41,10.30,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/20/2023 6:49 PM,08/20/2023 12:49 PM,1692557390,1613,false,29,94.49,74,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/20/2023 6:50 PM,08/20/2023 12:50 PM,1692557438,5690,false,98,95.48,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/20/2023 7:49 PM,08/20/2023 1:49 PM,1692560987,761,false,100,86.48,,53.93,1,53.93,9.43,12.46,22.15,9.89,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/20/2023 7:49 PM,08/20/2023 1:49 PM,1692560990,1614,false,28,92.89,72,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/20/2023 7:50 PM,08/20/2023 1:50 PM,1692561038,5691,false,98,95.84,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/20/2023 8:49 PM,08/20/2023 2:49 PM,1692564587,762,false,100,90.32,,54.83,1,54.83,10.01,12.62,22.26,9.94,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/20/2023 8:49 PM,08/20/2023 2:49 PM,1692564590,1615,false,30,95.36,70,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/20/2023 8:50 PM,08/20/2023 2:50 PM,1692564638,5692,false,98,96.29,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/20/2023 9:49 PM,08/20/2023 3:49 PM,1692568187,763,false,100,88.01,,55.80,1,55.80,10.35,12.78,23.05,9.62,,
