App,Rssi,Device,Hive_Position,Record_Type,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,w1,w3,w2,w4,Radar,Audio
H|60,88,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 5:33 PM,02/21/2024 10:33 AM,1708536825,5481,false,100,43.79,,103.22,1,103.22,30.24,17.20,27.29,28.49,,
H|60,26,47:20:22,Lower Brood,Logged_Data,02/21/2024 5:53 PM,02/21/2024 10:53 AM,1708538026,4371,false,69,51.94,,,,,,,,,,
H|60,32,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 5:53 PM,02/21/2024 10:53 AM,1708538027,4074,false,89,76.45,88,,,,,,,,,
H|60,84,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 6:33 PM,02/21/2024 11:33 AM,1708540425,5482,false,100,42.58,,103.34,1,103.34,30.31,17.19,27.36,28.48,,
H|60,28,47:20:22,Lower Brood,Logged_Data,02/21/2024 6:53 PM,02/21/2024 11:53 AM,1708541626,4372,false,69,51.99,,,,,,,,,,
H|60,36,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 6:53 PM,02/21/2024 11:53 AM,1708541627,4075,false,89,76.89,87,,,,,,,,,
H|60,68,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 7:33 PM,02/21/2024 12:33 PM,1708544025,5483,false,100,43.93,,103.47,1,103.47,30.31,17.18,27.27,28.71,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/21/2024 7:53 PM,02/21/2024 12:53 PM,1708545225,4373,false,69,51.92,,,,,,,,,,
H|60,30,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 7:53 PM,02/21/2024 12:53 PM,1708545226,4076,false,89,76.81,86,,,,,,,,,
H|60,90,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 8:33 PM,02/21/2024 1:33 PM,1708547625,5484,false,100,42.80,,103.53,1,103.53,30.39,17.12,27.32,28.70,,
H|60,34,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 8:53 PM,02/21/2024 1:53 PM,1708548826,4077,false,89,76.42,85,,,,,,,,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/21/2024 8:53 PM,02/21/2024 1:53 PM,1708548830,4374,false,69,52.17,,,,,,,,,,
H|60,72,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 9:33 PM,02/21/2024 2:33 PM,1708551224,5485,false,100,41.79,,103.49,1,103.49,30.42,17.14,27.30,28.63,,
H|60,22,47:20:22,Lower Brood,Logged_Data,02/21/2024 9:53 PM,02/21/2024 2:53 PM,1708552425,4375,false,69,52.05,,,,,,,,,,
H|60,36,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 9:53 PM,02/21/2024 2:53 PM,1708552426,4078,false,89,76.33,87,,,,,,,,,
H|60,88,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 10:33 PM,02/21/2024 3:33 PM,1708554824,5486,false,100,43.59,,103.58,1,103.58,30.54,17.16,27.22,28.66,,
H|60,32,47:20:22,Lower Brood,Logged_Data,02/21/2024 10:53 PM,02/21/2024 3:53 PM,1708556025,4376,false,69,52.01,,,,,,,,,,
H|60,38,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 10:54 PM,02/21/2024 3:54 PM,1708556040,4079,false,89,76.98,89,,,,,,,,,
H|60,88,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 11:33 PM,02/21/2024 4:33 PM,1708558423,5487,false,100,43.44,,103.65,1,103.65,30.67,17.15,27.17,28.66,,
H|60,32,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 11:53 PM,02/21/2024 4:53 PM,1708559625,4080,false,89,76.92,88,,,,,,,,,
H|60,32,47:20:22,Lower Brood,Logged_Data,02/22/2024 12:03 AM,02/21/2024 5:03 PM,1708560238,4377,false,69,52.14,,,,,,,,,,
H|60,86,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 12:33 AM,02/21/2024 5:33 PM,1708562023,5488,false,100,42.54,,103.62,1,103.62,30.73,17.15,27.12,28.62,,
H|60,30,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 12:53 AM,02/21/2024 5:53 PM,1708563225,4081,false,89,77.16,88,,,,,,,,,
H|60,20,47:20:22,Lower Brood,Logged_Data,02/22/2024 12:53 AM,02/21/2024 5:53 PM,1708563234,4378,false,69,51.96,,,,,,,,,,
H|60,78,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 1:33 AM,02/21/2024 6:33 PM,1708565623,5489,false,100,41.46,,103.54,1,103.54,30.76,17.14,27.08,28.56,,
H|60,32,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 1:53 AM,02/21/2024 6:53 PM,1708566825,4082,false,89,76.44,88,,,,,,,,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/22/2024 1:53 AM,02/21/2024 6:53 PM,1708566838,4379,false,69,51.58,,,,,,,,,,
H|60,86,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 2:33 AM,02/21/2024 7:33 PM,1708569222,5490,false,100,40.49,,103.46,1,103.46,30.78,17.12,27.04,28.52,,
H|60,36,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 2:53 AM,02/21/2024 7:53 PM,1708570424,4083,false,89,76.33,91,,,,,,,,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/22/2024 2:53 AM,02/21/2024 7:53 PM,1708570433,4380,false,69,51.74,,,,,,,,,,
H|60,86,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 3:33 AM,02/21/2024 8:33 PM,1708572822,5491,false,100,38.87,,103.36,1,103.36,30.79,17.09,27.01,28.47,,
H|60,18,47:20:22,Lower Brood,Logged_Data,02/22/2024 3:53 AM,02/21/2024 8:53 PM,1708574023,4381,false,69,51.35,,,,,,,,,,
H|60,38,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 3:53 AM,02/21/2024 8:53 PM,1708574024,4084,false,89,74.49,90,,,,,,,,,
H|60,86,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 4:33 AM,02/21/2024 9:33 PM,1708576423,5492,false,100,38.60,,103.35,1,103.35,30.79,17.09,26.98,28.49,,
H|60,24,47:20:22,Lower Brood,Logged_Data,02/22/2024 4:53 AM,02/21/2024 9:53 PM,1708577623,4382,false,69,50.99,,,,,,,,,,
H|60,32,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 4:53 AM,02/21/2024 9:53 PM,1708577624,4085,false,89,74.42,91,,,,,,,,,
H|60,90,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 5:33 AM,02/21/2024 10:33 PM,1708580023,5493,false,100,37.29,,103.47,1,103.47,30.67,17.02,27.07,28.71,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/22/2024 5:53 AM,02/21/2024 10:53 PM,1708581223,4383,false,68,50.79,,,,,,,,,,
H|60,42,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 5:53 AM,02/21/2024 10:53 PM,1708581234,4086,false,88,73.09,90,,,,,,,,,
H|60,88,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 6:33 AM,02/21/2024 11:33 PM,1708583621,5494,false,100,34.66,,103.51,1,103.51,30.61,16.82,27.12,28.96,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/22/2024 6:53 AM,02/21/2024 11:53 PM,1708584822,4384,false,68,50.32,,,,,,,,,,
H|60,32,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 6:53 AM,02/21/2024 11:53 PM,1708584823,4087,false,89,73.58,91,,,,,,,,,
H|60,88,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 7:33 AM,02/22/2024 12:33 AM,1708587221,5495,false,100,34.15,,103.48,1,103.48,30.58,16.68,26.99,29.23,,
H|60,32,47:20:22,Lower Brood,Logged_Data,02/22/2024 7:53 AM,02/22/2024 12:53 AM,1708588423,4385,false,68,50.05,,,,,,,,,,
H|60,42,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 7:53 AM,02/22/2024 12:53 AM,1708588428,4088,false,88,72.89,90,,,,,,,,,
H|60,80,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 8:33 AM,02/22/2024 1:33 AM,1708590821,5496,false,100,34.37,,103.50,1,103.50,30.56,16.59,26.90,29.45,,
H|60,32,47:20:22,Lower Brood,Logged_Data,02/22/2024 8:53 AM,02/22/2024 1:53 AM,1708592023,4386,false,68,49.74,,,,,,,,,,
H|60,40,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 8:53 AM,02/22/2024 1:53 AM,1708592023,4089,false,88,72.01,90,,,,,,,,,
H|60,90,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 9:33 AM,02/22/2024 2:33 AM,1708594422,5497,false,100,34.28,,103.52,1,103.52,30.54,16.51,26.83,29.64,,
H|60,32,47:20:22,Lower Brood,Logged_Data,02/22/2024 9:53 AM,02/22/2024 2:53 AM,1708595627,4387,false,68,49.74,,,,,,,,,,
H|60,40,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 9:53 AM,02/22/2024 2:53 AM,1708595633,4090,false,88,71.85,91,,,,,,,,,
H|60,80,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 10:33 AM,02/22/2024 3:33 AM,1708598020,5498,false,100,34.55,,103.51,1,103.51,30.53,16.47,26.76,29.75,,
H|60,32,47:20:22,Lower Brood,Logged_Data,02/22/2024 10:53 AM,02/22/2024 3:53 AM,1708599222,4388,false,68,49.55,,,,,,,,,,
H|60,40,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 10:53 AM,02/22/2024 3:53 AM,1708599223,4091,false,88,72.03,91,,,,,,,,,
H|60,82,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 11:33 AM,02/22/2024 4:33 AM,1708601620,5499,false,100,34.50,,103.54,1,103.54,30.53,16.43,26.70,29.88,,
H|60,42,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 11:53 AM,02/22/2024 4:53 AM,1708602823,4092,false,88,71.87,92,,,,,,,,,
H|60,30,47:20:22,Lower Brood,Logged_Data,02/22/2024 11:53 AM,02/22/2024 4:53 AM,1708602826,4389,false,67,49.28,,,,,,,,,,
H|60,84,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 12:33 PM,02/22/2024 5:33 AM,1708605220,5500,false,100,34.97,,103.54,1,103.54,30.52,16.40,26.65,29.97,,
H|60,42,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 12:53 PM,02/22/2024 5:53 AM,1708606423,4093,false,88,72.19,92,,,,,,,,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/22/2024 12:53 PM,02/22/2024 5:53 AM,1708606426,4390,false,67,48.93,,,,,,,,,,
H|60,86,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 1:33 PM,02/22/2024 6:33 AM,1708608821,5501,false,100,34.23,,103.58,1,103.58,30.51,16.35,26.66,30.06,,
H|60,34,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 1:53 PM,02/22/2024 6:53 AM,1708610027,4094,false,88,72.03,92,,,,,,,,,
H|60,26,47:20:22,Lower Brood,Logged_Data,02/22/2024 1:53 PM,02/22/2024 6:53 AM,1708610031,4391,false,67,48.61,,,,,,,,,,
H|60,92,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 2:33 PM,02/22/2024 7:33 AM,1708612420,5502,false,100,33.61,,103.61,1,103.61,30.50,16.35,26.62,30.14,,
H|60,36,47:20:22,Lower Brood,Logged_Data,02/22/2024 2:53 PM,02/22/2024 7:53 AM,1708613622,4392,false,67,49.29,,,,,,,,,,
H|60,34,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 2:53 PM,02/22/2024 7:53 AM,1708613623,4095,false,88,72.96,91,,,,,,,,,
H|60,90,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 3:33 PM,02/22/2024 8:33 AM,1708616019,5503,false,100,35.11,,103.38,1,103.38,30.54,16.10,26.46,30.28,,
H|60,36,47:20:22,Lower Brood,Logged_Data,02/22/2024 3:53 PM,02/22/2024 8:53 AM,1708617221,4393,false,67,48.86,,,,,,,,,,
H|60,40,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 3:53 PM,02/22/2024 8:53 AM,1708617222,4099,false,88,73.67,91,,,,,,,,,
H|60,88,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 4:33 PM,02/22/2024 9:33 AM,1708619619,5505,false,100,39.90,,103.44,1,103.44,30.53,16.27,26.32,30.32,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/22/2024 4:53 PM,02/22/2024 9:53 AM,1708620821,4394,false,67,48.99,,,,,,,,,,
H|60,36,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 4:53 PM,02/22/2024 9:53 AM,1708620822,4100,false,89,74.76,91,,,,,,,,,
H|60,88,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 5:33 PM,02/22/2024 10:33 AM,1708623219,5506,false,100,43.66,,103.61,1,103.61,30.63,16.11,26.36,30.51,,
H|60,40,47:20:22,Lower Brood,Logged_Data,02/22/2024 5:53 PM,02/22/2024 10:53 AM,1708624421,4395,false,67,48.81,,,,,,,,,,
H|60,36,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 5:53 PM,02/22/2024 10:53 AM,1708624422,4101,false,89,76.22,91,,,,,,,,,
H|60,90,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 6:33 PM,02/22/2024 11:33 AM,1708626818,5507,false,100,44.88,,103.61,1,103.61,30.63,16.07,26.35,30.56,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/22/2024 6:53 PM,02/22/2024 11:53 AM,1708628020,4396,false,67,49.13,,,,,,,,,,
H|60,26,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 6:53 PM,02/22/2024 11:53 AM,1708628021,4102,false,89,78.40,93,,,,,,,,,
H|60,90,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 7:33 PM,02/22/2024 12:33 PM,1708630418,5508,false,100,50.66,,103.98,1,103.98,30.93,16.08,26.34,30.63,,
H|60,36,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 7:53 PM,02/22/2024 12:53 PM,1708631621,4103,false,90,82.86,88,,,,,,,,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/22/2024 7:53 PM,02/22/2024 12:53 PM,1708631625,4397,false,69,51.06,,,,,,,,,,
H|60,90,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 8:33 PM,02/22/2024 1:33 PM,1708634019,5509,false,100,47.35,,103.54,1,103.54,30.98,15.83,26.06,30.67,,
H|60,36,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 8:53 PM,02/22/2024 1:53 PM,1708635221,4104,false,90,81.08,88,,,,,,,,,
H|60,32,47:20:22,Lower Brood,Logged_Data,02/22/2024 8:53 PM,02/22/2024 1:53 PM,1708635229,4398,false,69,51.62,,,,,,,,,,
H|60,92,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 9:33 PM,02/22/2024 2:33 PM,1708637618,5510,false,100,50.28,,103.82,1,103.82,31.27,15.99,25.96,30.60,,
H|60,44,47:20:22,Lower Brood,Logged_Data,02/22/2024 9:53 PM,02/22/2024 2:53 PM,1708638825,4399,false,70,53.25,,,,,,,,,,
H|60,40,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 9:53 PM,02/22/2024 2:53 PM,1708638835,4105,false,90,82.86,85,,,,,,,,,
H|60,84,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 10:33 PM,02/22/2024 3:33 PM,1708641218,5511,false,100,49.98,,103.94,1,103.94,31.60,16.07,25.53,30.74,,
H|60,44,47:20:22,Lower Brood,Logged_Data,02/22/2024 10:53 PM,02/22/2024 3:53 PM,1708642419,4400,false,70,54.35,,,,,,,,,,
H|60,36,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 10:53 PM,02/22/2024 3:53 PM,1708642420,4106,false,90,85.94,81,,,,,,,,,
H|60,88,49:02:8D,Scale Under Hive,Logged_Data,02/22/2024 11:33 PM,02/22/2024 4:33 PM,1708644818,5512,false,100,48.20,,103.62,1,103.62,32.01,16.32,24.99,30.30,,
H|60,44,47:20:22,Lower Brood,Logged_Data,02/22/2024 11:53 PM,02/22/2024 4:53 PM,1708646019,4401,false,72,56.89,,,,,,,,,,
H|60,34,56:0B:D0,Upper Brood,Logged_Data,02/22/2024 11:53 PM,02/22/2024 4:53 PM,1708646020,4107,false,90,85.33,81,,,,,,,,,
H|60,92,49:02:8D,Scale Under Hive,Logged_Data,02/23/2024 12:33 AM,02/22/2024 5:33 PM,1708648417,5513,false,100,46.83,,103.28,1,103.28,32.04,16.50,25.01,29.73,,
H|60,36,56:0B:D0,Upper Brood,Logged_Data,02/23/2024 12:53 AM,02/22/2024 5:53 PM,1708649620,4108,false,90,83.64,83,,,,,,,,,
H|60,44,47:20:22,Lower Brood,Logged_Data,02/23/2024 12:53 AM,02/22/2024 5:53 PM,1708649628,4402,false,72,56.04,,,,,,,,,,
H|60,92,49:02:8D,Scale Under Hive,Logged_Data,02/23/2024 1:33 AM,02/22/2024 6:33 PM,1708652018,5514,false,100,43.44,,102.61,1,102.61,32.12,16.53,24.69,29.27,,
H|60,42,47:20:22,Lower Brood,Logged_Data,02/23/2024 1:53 AM,02/22/2024 6:53 PM,1708653219,4403,false,72,55.88,,,,,,,,,,
H|60,32,56:0B:D0,Upper Brood,Logged_Data,02/23/2024 1:53 AM,02/22/2024 6:53 PM,1708653220,4109,false,90,81.06,81,,,,,,,,,
H|60,96,49:02:8D,Scale Under Hive,Logged_Data,02/23/2024 2:33 AM,02/22/2024 7:33 PM,1708655616,5515,false,100,39.14,,102.00,1,102.00,32.09,16.53,24.46,28.92,,
H|60,46,47:20:22,Lower Brood,Logged_Data,02/23/2024 2:53 AM,02/22/2024 7:53 PM,1708656818,4404,false,71,55.36,,,,,,,,,,
H|60,34,56:0B:D0,Upper Brood,Logged_Data,02/23/2024 2:53 AM,02/22/2024 7:53 PM,1708656819,4110,false,90,79.62,84,,,,,,,,,
H|60,98,49:02:8D,Scale Under Hive,Logged_Data,02/23/2024 3:33 AM,02/22/2024 8:33 PM,1708659216,5516,false,100,36.17,,101.55,1,101.55,32.06,16.51,24.27,28.71,,
H|60,34,56:0B:D0,Upper Brood,Logged_Data,02/23/2024 3:53 AM,02/22/2024 8:53 PM,1708660419,4111,false,90,78.47,85,,,,,,,,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/23/2024 3:53 AM,02/22/2024 8:53 PM,1708660423,4405,false,71,54.78,,,,,,,,,,
H|60,98,49:02:8D,Scale Under Hive,Logged_Data,02/23/2024 4:33 AM,02/22/2024 9:33 PM,1708662816,5517,false,100,33.71,,101.13,1,101.13,32.02,16.46,24.08,28.57,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/23/2024 4:53 AM,02/22/2024 9:53 PM,1708664018,4406,false,71,54.46,,,,,,,,,,
H|60,30,56:0B:D0,Upper Brood,Logged_Data,02/23/2024 4:53 AM,02/22/2024 9:53 PM,1708664019,4112,false,89,77.18,83,,,,,,,,,
H|60,99,49:02:8D,Scale Under Hive,Logged_Data,02/23/2024 5:33 AM,02/22/2024 10:33 PM,1708666416,5518,false,100,32.34,,100.82,1,100.82,31.98,16.39,23.95,28.50,,
H|60,36,47:20:22,Lower Brood,Logged_Data,02/23/2024 5:53 AM,02/22/2024 10:53 PM,1708667618,4407,false,71,54.41,,,,,,,,,,
H|60,28,56:0B:D0,Upper Brood,Logged_Data,02/23/2024 5:53 AM,02/22/2024 10:53 PM,1708667620,4113,false,89,75.88,81,,,,,,,,,
H|60,99,49:02:8D,Scale Under Hive,Logged_Data,02/23/2024 6:33 AM,02/22/2024 11:33 PM,1708670015,5519,false,100,31.51,,99.83,1,99.83,32.16,15.96,22.92,28.79,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/23/2024 6:53 AM,02/22/2024 11:53 PM,1708671217,4408,false,71,54.06,,,,,,,,,,
H|60,32,56:0B:D0,Upper Brood,Logged_Data,02/23/2024 6:53 AM,02/22/2024 11:53 PM,1708671228,4114,false,89,75.14,83,,,,,,,,,
H|60,99,49:02:8D,Scale Under Hive,Logged_Data,02/23/2024 7:33 AM,02/23/2024 12:33 AM,1708673615,5520,false,100,30.63,,99.21,1,99.21,32.28,15.65,22.27,29.01,,
H|60,32,47:20:22,Lower Brood,Logged_Data,02/23/2024 7:53 AM,02/23/2024 12:53 AM,1708674817,4409,false,70,53.34,,,,,,,,,,
H|60,32,56:0B:D0,Upper Brood,Logged_Data,02/23/2024 7:53 AM,02/23/2024 12:53 AM,1708674819,4115,false,89,74.22,84,,,,,,,,,
H|60,99,49:02:8D,Scale Under Hive,Logged_Data,02/23/2024 8:33 AM,02/23/2024 1:33 AM,1708677215,5521,false,100,29.82,,99.84,1,99.84,32.02,16.03,23.20,28.59,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/23/2024 8:53 AM,02/23/2024 1:53 AM,1708678417,4410,false,70,52.50,,,,,,,,,,
H|60,26,56:0B:D0,Upper Brood,Logged_Data,02/23/2024 8:53 AM,02/23/2024 1:53 AM,1708678419,4116,false,89,74.58,85,,,,,,,,,
H|60,84,49:02:8D,Scale Under Hive,Logged_Data,02/23/2024 9:33 AM,02/23/2024 2:33 AM,1708680816,5522,false,100,29.26,,100.08,1,100.08,31.84,16.22,23.69,28.33,,
H|60,42,47:20:22,Lower Brood,Logged_Data,02/23/2024 9:53 AM,02/23/2024 2:53 AM,1708682022,4411,false,70,51.89,,,,,,,,,,
