App,Rssi,Device,Hive_Position,Record_Type,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,w1,w3,w2,w4,Radar,Audio
H|60,88,49:02:8D,Scale Under Hive,Logged_Data,02/25/2024 7:33 AM,02/25/2024 12:33 AM,1708846403,5568,false,100,31.69,,90.45,1,90.45,33.55,15.27,17.84,23.79,,
H|60,28,56:0B:D0,Upper Brood,Logged_Data,02/25/2024 7:53 AM,02/25/2024 12:53 AM,1708847604,4163,false,91,80.56,74,,,,,,,,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/25/2024 7:53 AM,02/25/2024 12:53 AM,1708847610,4457,false,81,70.25,,,,,,,,,,
H|60,99,49:02:8D,Scale Under Hive,Logged_Data,02/25/2024 8:33 AM,02/25/2024 1:33 AM,1708850006,5569,false,100,30.74,,91.01,1,91.01,33.20,15.78,18.91,23.12,,
H|60,42,47:20:22,Lower Brood,Logged_Data,02/25/2024 8:53 AM,02/25/2024 1:53 AM,1708851206,4458,false,82,72.51,,,,,,,,,,
H|60,26,56:0B:D0,Upper Brood,Logged_Data,02/25/2024 8:53 AM,02/25/2024 1:53 AM,1708851209,4164,false,91,79.97,74,,,,,,,,,
H|60,99,49:02:8D,Scale Under Hive,Logged_Data,02/25/2024 9:33 AM,02/25/2024 2:33 AM,1708853603,5570,false,100,30.45,,91.25,1,91.25,32.91,16.07,19.56,22.71,,
H|60,38,47:20:22,Lower Brood,Logged_Data,02/25/2024 9:53 AM,02/25/2024 2:53 AM,1708854806,4459,false,81,72.06,,,,,,,,,,
H|60,32,56:0B:D0,Upper Brood,Logged_Data,02/25/2024 9:53 AM,02/25/2024 2:53 AM,1708854809,4165,false,90,78.96,75,,,,,,,,,
H|60,99,49:02:8D,Scale Under Hive,Logged_Data,02/25/2024 10:33 AM,02/25/2024 3:33 AM,1708857203,5571,false,100,29.60,,91.29,1,91.29,32.64,16.27,20.03,22.35,,
H|60,24,56:0B:D0,Upper Brood,Logged_Data,02/25/2024 10:53 AM,02/25/2024 3:53 AM,1708858404,4166,false,90,78.94,74,,,,,,,,,
H|60,38,47:20:22,Lower Brood,Logged_Data,02/25/2024 10:53 AM,02/25/2024 3:53 AM,1708858406,4460,false,81,71.47,,,,,,,,,,
H|60,99,49:02:8D,Scale Under Hive,Logged_Data,02/25/2024 11:33 AM,02/25/2024 4:33 AM,1708860802,5572,false,100,29.64,,91.47,1,91.47,32.39,16.47,20.48,22.13,,
